AWARD,LAST WEEK,PEAK POS,CHART
AWARD,LAST WEEK,PEAK POS,CHART
" Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast"," Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",1,1
 Glass Animals, Glass Animals,2,2
 GAYLE, GAYLE,4,3
 Adele, Adele,3,1
 Kodak Black, Kodak Black,6,5
 The Kid LAROI & Justin Bieber, The Kid LAROI & Justin Bieber,5,1
 Justin Bieber, Justin Bieber,8,7
 Ed Sheeran, Ed Sheeran,7,4
 Ed Sheeran, Ed Sheeran,14,2
 Elton John & Dua Lipa, Elton John & Dua Lipa,12,7
 Lil Nas X, Lil Nas X,9,9
 Doja Cat, Doja Cat,13,8
 Jessica Darrow, Jessica Darrow,11,8
 Gunna & Future Featuring Young Thug, Gunna & Future Featuring Young Thug,10,7
 Lil Nas X & Jack Harlow, Lil Nas X & Jack Harlow,17,1
 Dua Lipa, Dua Lipa,16,2
 Becky G X Karol G, Becky G X Karol G,15,15
 Jack Harlow, Jack Harlow,-,18
 The Weeknd & Ariana Grande, The Weeknd & Ariana Grande,18,1
 Imagine Dragons X JID, Imagine Dragons X JID,27,20
 Latto, Latto,25,21
 Post Malone & The Weeknd, Post Malone & The Weeknd,22,6
 Muni Long, Muni Long,19,16
 Doja Cat, Doja Cat,26,24
 Cody Johnson, Cody Johnson,33,25
" Stephanie Beatriz, Olga Merediz & Encanto Cast"," Stephanie Beatriz, Olga Merediz & Encanto Cast",24,20
 Olivia Rodrigo, Olivia Rodrigo,30,1
 SZA, SZA,28,7
 Charlie Puth, Charlie Puth,48,29
 Morgan Wallen, Morgan Wallen,38,30
 Jordan Davis Featuring Luke Bryan, Jordan Davis Featuring Luke Bryan,39,22
DrakeFeaturing21Savage&ProjectPat,DrakeFeaturing21Savage&ProjectPat,31,4
 Doja Cat & The Weeknd, Doja Cat & The Weeknd,45,11
 CKay, CKay,36,26
 Walker Hayes, Walker Hayes,41,3
 Kane Brown, Kane Brown,54,36
 THE ANXIETY: WILLOW & Tyler Cole, THE ANXIETY: WILLOW & Tyler Cole,43,21
 Diane Guerrero & Stephanie Beatriz, Diane Guerrero & Stephanie Beatriz,42,27
 Lauren Spencer-Smith, Lauren Spencer-Smith,49,19
 Silk Sonic (Bruno Mars & Anderson .Paak), Silk Sonic (Bruno Mars & Anderson .Paak),35,5
 Wizkid Featuring Justin Bieber & Tems, Wizkid Featuring Justin Bieber & Tems,47,9
 Lil Durk, Lil Durk,-,42
 Dr. Dre Featuring Snoop Dogg, Dr. Dre Featuring Snoop Dogg,23,23
 Nicki Minaj X Lil Baby, Nicki Minaj X Lil Baby,32,2
 Adele, Adele,29,5
 Sebastian Yatra, Sebastian Yatra,50,36
 Chris Stapleton, Chris Stapleton,44,28
 The Weeknd, The Weeknd,53,11
 Luke Combs, Luke Combs,62,49
 NEIKED X Mae Muller X Polo G, NEIKED X Mae Muller X Polo G,52,23
 Parker McCollum, Parker McCollum,51,48
" Dierks Bentley, Breland & HARDY"," Dierks Bentley, Breland & HARDY",58,52
 Walker Hayes, Walker Hayes,59,53
" Fivio Foreign, Kanye West & Alicia Keys"," Fivio Foreign, Kanye West & Alicia Keys",46,46
 Cole Swindell / Lainey Wilson, Cole Swindell / Lainey Wilson,79,55
 Sam Hunt, Sam Hunt,55,53
 Kelsea Ballerini Featuring Kenny Chesney, Kelsea Ballerini Featuring Kenny Chesney,56,53
 Eric Church, Eric Church,61,56
 Lil Durk Featuring Morgan Wallen, Lil Durk Featuring Morgan Wallen,65,14
 Stephanie Beatriz, Stephanie Beatriz,57,48
 Gunna, Gunna,-,61
 Tate McRae, Tate McRae,67,52
" Nardo Wick, Lil Baby & Future"," Nardo Wick, Lil Baby & Future",64,63
 Ed Sheeran Featuring Taylor Swift, Ed Sheeran Featuring Taylor Swift,21,21
 Dove Cameron, Dove Cameron,73,65
 Gucci Mane Featuring Lil Durk, Gucci Mane Featuring Lil Durk,71,51
 Ari Lennox, Ari Lennox,72,66
 Em Beihold, Em Beihold,85,68
 The Chainsmokers, The Chainsmokers,77,57
 Fireboy DML & Ed Sheeran, Fireboy DML & Ed Sheeran,76,70
"NardoWickFeaturingGHerbo,LilDurk&21Savage","NardoWickFeaturingGHerbo,LilDurk&21Savage",69,17
 Nicki Minaj X Lil Baby, Nicki Minaj X Lil Baby,20,20
 Future, Future,34,34
 Yung Bleu & Kehlani, Yung Bleu & Kehlani,78,74
 Gunna Featuring Drake, Gunna Featuring Drake,63,24
 Maren Morris, Maren Morris,82,63
" Stephanie Beatriz, Olga Merediz, John Leguizamo, Adassa, Maluma & Encanto Cast"," Stephanie Beatriz, Olga Merediz, John Leguizamo, Adassa, Maluma & Encanto Cast",74,71
 Juice WRLD, Juice WRLD,70,43
 Miranda Lambert, Miranda Lambert,84,79
 The Walters, The Walters,81,71
 Moneybagg Yo, Moneybagg Yo,86,66
 Acraze Featuring Cherish, Acraze Featuring Cherish,80,65
 Rod Wave, Rod Wave,87,58
 Jimmie Allen & Brad Paisley, Jimmie Allen & Brad Paisley,66,45
 Tiesto & Ava Max, Tiesto & Ava Max,91,85
KingVon&21Savage,KingVon&21Savage,68,40
 Carly Pearce & Ashley McBryde, Carly Pearce & Ashley McBryde,93,87
 ERNEST Featuring Morgan Wallen, ERNEST Featuring Morgan Wallen,92,68
 Mary J. Blige, Mary J. Blige,83,83
 Alesso / Katy Perry, Alesso / Katy Perry,-,90
 Yeat, Yeat,-,91
 Blake Shelton, Blake Shelton,97,85
 Chris Brown, Chris Brown,98,71
 Russell Dickerson, Russell Dickerson,99,88
 Jessie Murph, Jessie Murph,-,95
 Saweetie Featuring H.E.R., Saweetie Featuring H.E.R.,89,89
 Rod Wave, Rod Wave,90,38
 Doja Cat, Doja Cat,94,68
 Taylor Swift, Taylor Swift,96,1
 HARDY, HARDY,-,100
